Date,Today_Open,Min_Date,Min_Close,Max_Date,Max_Close
18-Jun-2008,2350.0,02-Jul-2007,1684.3,14-Jan-2008,3220.85
19-Jun-2008,2258.85,02-Jul-2007,1684.3,14-Jan-2008,3220.85
20-Jun-2008,2260.05,02-Jul-2007,1684.3,14-Jan-2008,3220.85
23-Jun-2008,2080.0,02-Jul-2007,1684.3,14-Jan-2008,3220.85
24-Jun-2008,2045.0,02-Jul-2007,1684.3,14-Jan-2008,3220.85
25-Jun-2008,1956.25,02-Jul-2007,1684.3,14-Jan-2008,3220.85
26-Jun-2008,2145.0,02-Jul-2007,1684.3,14-Jan-2008,3220.85
27-Jun-2008,2176.0,02-Jul-2007,1684.3,14-Jan-2008,3220.85
30-Jun-2008,2180.0,02-Jul-2007,1684.3,14-Jan-2008,3220.85
01-Jul-2008,2110.0,02-Jul-2007,1684.3,14-Jan-2008,3220.85
02-Jul-2008,2039.7,10-Jul-2007,1702.7,14-Jan-2008,3220.85
03-Jul-2008,2130.0,10-Jul-2007,1702.7,14-Jan-2008,3220.85
04-Jul-2008,2070.05,10-Jul-2007,1702.7,14-Jan-2008,3220.85
07-Jul-2008,2090.05,10-Jul-2007,1702.7,14-Jan-2008,3220.85
08-Jul-2008,1998.0,10-Jul-2007,1702.7,14-Jan-2008,3220.85
09-Jul-2008,2000.0,10-Jul-2007,1702.7,14-Jan-2008,3220.85
10-Jul-2008,2076.9,11-Jul-2007,1703.3,14-Jan-2008,3220.85
11-Jul-2008,2054.0,12-Jul-2007,1719.35,14-Jan-2008,3220.85
14-Jul-2008,2000.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
15-Jul-2008,2005.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
16-Jul-2008,1990.15,16-Aug-2007,1739.05,14-Jan-2008,3220.85
17-Jul-2008,2038.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
18-Jul-2008,1990.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
21-Jul-2008,2149.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
22-Jul-2008,2125.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
23-Jul-2008,2170.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
24-Jul-2008,2259.9,16-Aug-2007,1739.05,14-Jan-2008,3220.85
25-Jul-2008,2338.45,16-Aug-2007,1739.05,14-Jan-2008,3220.85
28-Jul-2008,2150.05,16-Aug-2007,1739.05,14-Jan-2008,3220.85
29-Jul-2008,2139.8,16-Aug-2007,1739.05,14-Jan-2008,3220.85
30-Jul-2008,2138.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
31-Jul-2008,2214.8,16-Aug-2007,1739.05,14-Jan-2008,3220.85
01-Aug-2008,2170.05,16-Aug-2007,1739.05,14-Jan-2008,3220.85
04-Aug-2008,2349.8,16-Aug-2007,1739.05,14-Jan-2008,3220.85
05-Aug-2008,2256.65,16-Aug-2007,1739.05,14-Jan-2008,3220.85
06-Aug-2008,2290.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
07-Aug-2008,2298.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
08-Aug-2008,2249.7,16-Aug-2007,1739.05,14-Jan-2008,3220.85
11-Aug-2008,2251.15,16-Aug-2007,1739.05,14-Jan-2008,3220.85
12-Aug-2008,2340.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
13-Aug-2008,2329.8,16-Aug-2007,1739.05,14-Jan-2008,3220.85
14-Aug-2008,2336.0,16-Aug-2007,1739.05,14-Jan-2008,3220.85
18-Aug-2008,2290.0,23-Aug-2007,1744.0,14-Jan-2008,3220.85
19-Aug-2008,2225.0,23-Aug-2007,1744.0,14-Jan-2008,3220.85
20-Aug-2008,2220.0,23-Aug-2007,1744.0,14-Jan-2008,3220.85
21-Aug-2008,2261.25,23-Aug-2007,1744.0,14-Jan-2008,3220.85
22-Aug-2008,2199.5,23-Aug-2007,1744.0,14-Jan-2008,3220.85
25-Aug-2008,2205.35,27-Aug-2007,1833.8,14-Jan-2008,3220.85
26-Aug-2008,2219.0,27-Aug-2007,1833.8,14-Jan-2008,3220.85
27-Aug-2008,2199.9,28-Aug-2007,1882.5,14-Jan-2008,3220.85
28-Aug-2008,2168.0,29-Aug-2007,1889.7,14-Jan-2008,3220.85
29-Aug-2008,2140.0,30-Aug-2007,1912.05,14-Jan-2008,3220.85
01-Sep-2008,2120.0,16-Jul-2008,1943.5,14-Jan-2008,3220.85
02-Sep-2008,2140.0,16-Jul-2008,1943.5,14-Jan-2008,3220.85
04-Sep-2008,2250.0,16-Jul-2008,1943.5,14-Jan-2008,3220.85
05-Sep-2008,2105.0,16-Jul-2008,1943.5,14-Jan-2008,3220.85
08-Sep-2008,2190.0,16-Jul-2008,1943.5,14-Jan-2008,3220.85
09-Sep-2008,2145.0,16-Jul-2008,1943.5,14-Jan-2008,3220.85
10-Sep-2008,2129.95,16-Jul-2008,1943.5,14-Jan-2008,3220.85
11-Sep-2008,2070.0,16-Jul-2008,1943.5,14-Jan-2008,3220.85
12-Sep-2008,2028.95,16-Jul-2008,1943.5,14-Jan-2008,3220.85
15-Sep-2008,1889.7,12-Sep-2008,1932.65,14-Jan-2008,3220.85
16-Sep-2008,1800.0,15-Sep-2008,1886.95,14-Jan-2008,3220.85
17-Sep-2008,1960.0,15-Sep-2008,1886.95,14-Jan-2008,3220.85
18-Sep-2008,1802.0,17-Sep-2008,1876.65,14-Jan-2008,3220.85
19-Sep-2008,1981.0,17-Sep-2008,1876.65,14-Jan-2008,3220.85
22-Sep-2008,2100.0,17-Sep-2008,1876.65,14-Jan-2008,3220.85
23-Sep-2008,2000.0,17-Sep-2008,1876.65,14-Jan-2008,3220.85
24-Sep-2008,1990.05,17-Sep-2008,1876.65,14-Jan-2008,3220.85
25-Sep-2008,2041.1,17-Sep-2008,1876.65,14-Jan-2008,3220.85
26-Sep-2008,2018.0,17-Sep-2008,1876.65,14-Jan-2008,3220.85
29-Sep-2008,1975.0,17-Sep-2008,1876.65,14-Jan-2008,3220.85
30-Sep-2008,1889.9,17-Sep-2008,1876.65,14-Jan-2008,3220.85
01-Oct-2008,1960.0,17-Sep-2008,1876.65,14-Jan-2008,3220.85
03-Oct-2008,1959.0,17-Sep-2008,1876.65,14-Jan-2008,3220.85
06-Oct-2008,1729.0,03-Oct-2008,1761.45,14-Jan-2008,3220.85
07-Oct-2008,1661.15,06-Oct-2008,1641.6,14-Jan-2008,3220.85
08-Oct-2008,1630.0,06-Oct-2008,1641.6,14-Jan-2008,3220.85
10-Oct-2008,1599.7,06-Oct-2008,1641.6,14-Jan-2008,3220.85
13-Oct-2008,1558.0,10-Oct-2008,1527.6,14-Jan-2008,3220.85
14-Oct-2008,1625.0,10-Oct-2008,1527.6,14-Jan-2008,3220.85
15-Oct-2008,1590.05,10-Oct-2008,1527.6,14-Jan-2008,3220.85
