Date,MinMax_Feature
13-Apr-2012,0.15273982453617124
16-Apr-2012,0.15576010355242342
17-Apr-2012,0.17790881633827105
18-Apr-2012,0.16410182654969072
19-Apr-2012,0.1753200057529123
20-Apr-2012,0.13548108730044564
23-Apr-2012,0.10398230088495569
24-Apr-2012,0.1455436156763589
25-Apr-2012,0.13351719662556777
26-Apr-2012,0.15060549206890664
27-Apr-2012,0.16626547455295707
28-Apr-2012,0.1611072902338374
30-Apr-2012,0.1639072847682118
02-May-2012,0.20630749014454647
03-May-2012,0.1710155810024403
04-May-2012,0.15186784306363788
07-May-2012,0.08278580814717462
08-May-2012,0.09404918340529365
09-May-2012,0.034112325669053735
10-May-2012,0.01620806633999229
11-May-2012,0.00018846588767415957
14-May-2012,0.019035054655107256
15-May-2012,0.0
16-May-2012,0.0
17-May-2012,0.01470848839269884
18-May-2012,0.002835371256423727
21-May-2012,0.03685982633351047
22-May-2012,0.10101010101010102
23-May-2012,0.03225234804182181
24-May-2012,0.06344143186248442
25-May-2012,0.06698564593301427
28-May-2012,0.056353003721424696
29-May-2012,0.09250398724082944
30-May-2012,0.08346624136097805
31-May-2012,0.074074074074074
01-Jun-2012,0.11075668970405814
04-Jun-2012,0.003189792663476794
05-Jun-2012,0.07052986000354414
06-Jun-2012,0.10047846889952163
07-Jun-2012,0.16174883051457337
08-Jun-2012,0.15077365958978042
11-Jun-2012,0.22685370741482974
12-Jun-2012,0.1559118236472945
13-Jun-2012,0.19617428267800202
14-Jun-2012,0.17776787703274666
15-Jun-2012,0.1893702545779365
18-Jun-2012,0.2422956677087986
19-Jun-2012,0.18267083519428307
20-Jun-2012,0.2764627065654309
21-Jun-2012,0.2585975882090218
22-Jun-2012,0.16726217061188
25-Jun-2012,0.1701652523447969
26-Jun-2012,0.1849039749888342
27-Jun-2012,0.2246538633318444
28-Jun-2012,0.21572130415363983
29-Jun-2012,0.21884769986601163
02-Jul-2012,0.2652970075926752
03-Jul-2012,0.2851719517641806
04-Jul-2012,0.2853952657436355
05-Jul-2012,0.26284055381866916
06-Jul-2012,0.2764627065654309
09-Jul-2012,0.23626619026351042
10-Jul-2012,0.2472085752568112
11-Jul-2012,0.25614113443501574
12-Jul-2012,0.20455560518088414
13-Jul-2012,0.19606967396158992
16-Jul-2012,0.19606967396158992
17-Jul-2012,0.21750781598928065
18-Jul-2012,0.18713711478338535
19-Jul-2012,0.19696292987941058
20-Jul-2012,0.20634211701652494
23-Jul-2012,0.17373827601607852
24-Jul-2012,0.2005359535506922
25-Jul-2012,0.19785618579723072
26-Jul-2012,0.20008932559178186
27-Jul-2012,0.19160339437248763
30-Jul-2012,0.20946851272889674
31-Jul-2012,0.24787851719517645
01-Aug-2012,0.28651183564091104
02-Aug-2012,0.2947744528807504
03-Aug-2012,0.2630638677981241
06-Aug-2012,0.3213488164359086
07-Aug-2012,0.4910674408217952
08-Aug-2012,0.4866011612326929
09-Aug-2012,0.5037963376507368
10-Aug-2012,0.45355069227333616
13-Aug-2012,0.46181330951317545
